Sc,Em,Ei,cm,ci,m1,m_min,rs1,a_bar,w,scen_new,scen_numb,sequence,finalScName
1,0,0,0,0,8,0.000547945,0.001820496,365.4905941,0.673621967,Sc1,1,1,1
2,0.7,0,0,0,8,0.000547945,0.002028131,350.6895345,0.704140878,Sc2,2,2,I-1
3,0.15,0.05,0,0,8,0.000547945,0.001871586,357.1706431,0.677980742,Sc3,3,3,I-2
4,0.6,0.1,0,0,8,0.000547945,0.002012626,343.2753793,0.695235952,Sc5,5,4,I-3
5,0.7,0.63,0,0.01,8,0.000547945,0.00207121,290.2108701,0.652163006,Sc7,7,5,I-4
6,0.7,0.01,0,0.01,8,0.000547945,0.00187622,359.0431691,0.674952026,Sc13,13,6,I-5
7,0.7,0.01,0.01,0,8,0.000547945,0.002297426,329.4911669,0.740072075,Sc9,9,7,I-6
8,0.7,0.63,0,-0.005,8,0.000547945,0.002299069,282.9361378,0.685270433,Sc8,8,8,I-7
9,0.7,0.01,0,-0.01,8,0.000547945,0.002309424,328.7714912,0.74496216,Sc10,10,9,I-8
10,0.7,0.01,-0.01,0,8,0.000547945,0.001808783,368.1926979,0.672497146,Sc12,12,10,I-9
11,0.7,0.01,-0.01,-0.01,8,0.000547945,0.00202694,350.9443996,0.708290049,Sc11,11,11,I-10
12,0.15,0.05,0,0,8,0.00109589,0.00283,291.436,0.791,Sc4,4,12,I-11
13,0.6,0.1,0,0,8,0.00109589,0.001941195,355.9734453,0.726594846,Sc6,6,13,I-12
14,0,0,0,0,4,0.000547945,0.002445753,378.2069558,0.817156266,Sc14,14,14,II-1
15,0,0,0,0,4,0.00109589,0.004105289,267.347475,0.973826568,Sc15,15,15,II-2
16,0,0,0,0,8,0.00109589,0.002774108,297.1256765,0.788276979,Sc16,16,16,II-3
17,0.63,0.7,0.01,-0.01,8,0.000547945,0.002741243,256.5926966,0.724985748,Sc17,17,17,III-1
18,0.63,0.7,0.001,-0.015,8,0.000547945,0.002558421,265.5643053,0.710718387,Sc18,18,18,III-2
19,0.63,0.7,-0.001,-0.015,8,0.000547945,0.002487494,269.2068408,0.704386829,Sc19,19,19,III-3
20,0.63,0.7,0.015,-0.001,8,0.000547945,0.002708818,257.1642023,0.717880971,Sc20,20,20,III-4
21,0.63,0.7,0.01,0,8,0.000547945,0.002522506,265.5350688,0.69984343,Sc21,21,21,III-5
22,0.63,0.7,0.02,0,8,0.000547945,0.002874489,249.8545941,0.732115892,Sc22,22,22,III-6
23,0.05,0.3,0.01,0,8,0.000547945,0.001885537,360.1344774,0.656822823,Sc23,23,23,III-7
24,0.63,0.7,0.001,-0.015,8,0.00109589,0.001892924,359.3847539,0.673989933,Sc24,24,24,III-8
25,0.63,0.7,0.015,-0.001,6,0.000547945,0.000897297,480.182196,0.6890943,Sc25,25,25,III-9
26,0.63,0.7,0.01,-0.01,4,0.000547945,0.000929016,474.9095158,0.761475481,Sc26,26,26,III-10
27,0.35,0.7,0,0,8,0.000547945,0.002128597,284.7056656,0.659710505,Sc40,40,27,IV-1
28,0.05,0.15,0,0,8,0.000547945,0.001873435,347.7941577,0.671743914,Sc41,41,28,IV-2
29,0.05,0.3,0,0,8,0.000547945,0.001852552,337.5939202,0.638020889,Sc42,42,29,IV-3
30,0.63,0.7,0,0.01,8,0.000547945,0.002072994,284.1077449,0.648802557,Sc34,34,30,IV-4
31,0.63,0.7,0,0.001,8,0.000547945,0.002209217,280.8412721,0.667746928,Sc35,35,31,IV-5
32,0.63,0.7,-0.01,0.01,8,0.000547945,0.001765793,300.659902,0.617585926,Sc37,37,32,IV-6
33,0.63,0.7,-0.001,0.01,8,0.000547945,0.002041713,285.7273598,0.645641513,Sc38,38,33,IV-7
34,0.63,0.7,0.001,0.0015,8,0.000547945,0.002230573,279.5574152,0.669629253,Sc39,39,34,IV-8
35,0.63,0.7,0,0.001,8,0.00109589,0.002970738,252.5496786,0.778777471,Sc36,36,35,IV-9
36,0,0.35,0,0,8,0.00109589,0.002721595,281.7617741,0.772386904,Sc30,30,36,V-1
37,0,0.35,0,0,10,0.00109589,0.003047424,238.8353395,0.773292875,Sc33,33,37,V-2
38,0,0.7,0,0,8,0.000547945,0.002019662,289.766904,0.647894621,Sc31,31,38,V-3
39,0,0.1,0,0,10,0.00109589,0.003047273,251.3261045,0.781231473,Sc32,32,39,V-4
40,0,0.35,0,-0.01,8,0.000547945,0.002002364,322.7163871,0.687756861,Sc27,27,40,V-5
41,0,0.35,0,-0.01,8,0.00109589,0.003185322,257.4354161,0.805099074,Sc28,28,41,V-6
42,0,0.35,0,-0.01,10,0.00109589,0.003475945,222.7572945,0.799461642,Sc29,29,42,V-7
